Year,policeofficer,policestaff,pcsos,designated officers
2010,3302,1871,430,0
2011,3210,1830,416,0
2012,3039,1667,365,0
2013,2873,1779,356,0
2014,2800,1849,334,0
2015,2707,1968,331,0
2016,2692,1999,325,0
2017,2667,1997,316,0
